genus,family,order,class
Peromyscus,Cricetidae,Rodentia,Mammalia
Sorex,Soricidae,Eulipotyphla,Mammalia
Microtus,Cricetidae,Rodentia,Mammalia
Myodes,Cricetidae,Rodentia,Mammalia
Dipodomys,Heteromyidae,Rodentia,Mammalia
Tamias,Sciuridae,Rodentia,Mammalia
Neotoma,Cricetidae,Rodentia,Mammalia
Mus,NA,NA,NA
Sigmodon,Cricetidae,Rodentia,Mammalia
Chaetodipus,Heteromyidae,Rodentia,Mammalia
Perognathus,Heteromyidae,Rodentia,Mammalia
Thomomys,Geomyidae,Rodentia,Mammalia
Clethrionomys,Cricetidae,Rodentia,Mammalia
Reithrodontomys,Cricetidae,Rodentia,Mammalia
Tamiasciurus,Sciuridae,Rodentia,Mammalia
Spermophilus,Sciuridae,Rodentia,Mammalia
Zapus,Dipodidae,Rodentia,Mammalia
Blarina,Soricidae,Eulipotyphla,Mammalia
Geomys,Geomyidae,Rodentia,Mammalia
Sciurus,Sciuridae,Rodentia,Mammalia
Onychomys,Cricetidae,Rodentia,Mammalia
Rattus,Muridae,Rodentia,Mammalia
Urocitellus,Sciuridae,Rodentia,Mammalia
Sylvilagus,Leporidae,Lagomorpha,Mammalia
Mustela,Mustelidae,Carnivora,Mammalia
Ochotona,Ochotonidae,Lagomorpha,Mammalia
Puma,Felidae,Carnivora,Mammalia
Canis,Canidae,Carnivora,Mammalia
Oligoryzomys,Cricetidae,Rodentia,Mammalia
Oryzomys,Cricetidae,Rodentia,Mammalia
Zygodontomys,Cricetidae,Rodentia,Mammalia
Martes,Mustelidae,Carnivora,Mammalia
Liomys,Heteromyidae,Rodentia,Mammalia
Lepus,Leporidae,Lagomorpha,Mammalia
Lemmus,Cricetidae,Rodentia,Mammalia
Akodon,Cricetidae,Rodentia,Mammalia
Ammospermophilus,Sciuridae,Rodentia,Mammalia
Glaucomys,Sciuridae,Rodentia,Mammalia
Procyon,Procyonidae,Carnivora,Mammalia
Odocoileus,Cervidae,Artiodactyla,Mammalia
Abrothrix,Cricetidae,Rodentia,Mammalia
Neurotrichus,Talpidae,Eulipotyphla,Mammalia
Callospermophilus,Sciuridae,Rodentia,Mammalia
Apodemus,Muridae,Rodentia,Mammalia
Calomys,Cricetidae,Rodentia,Mammalia
Neovison,Mustelidae,Carnivora,Mammalia
Ondatra,Cricetidae,Rodentia,Mammalia
Marmota,Sciuridae,Rodentia,Mammalia
Cratogeomys,Geomyidae,Rodentia,Mammalia
Didelphis,Didelphidae,Didelphimorphia,Mammalia
Synaptomys,Cricetidae,Rodentia,Mammalia
Baiomys,Cricetidae,Rodentia,Mammalia
Scapanus,Talpidae,Eulipotyphla,Mammalia
Cryptotis,Soricidae,Eulipotyphla,Mammalia
Phenacomys,Cricetidae,Rodentia,Mammalia
Vulpes,Canidae,Rodentia,Mammalia
Napaeozapus,Dipodidae,Rodentia,Mammalia
Phoca,Phocidae,Rodentia,Mammalia
Otospermophilus,Sciuridae,Rodentia,Mammalia
Dicrostonyx,Cricetidae,Rodentia,Mammalia
Enhydra,Mustelidae,Rodentia,Mammalia
Pusa,Phocidae,Rodentia,Mammalia
Castor,Castoridae,Rodentia,Mammalia
Phyllotis,Cricetidae,Rodentia,Mammalia
Proechimys,Echimyidae,Rodentia,Mammalia
Ictidomys,Sciuridae,Rodentia,Mammalia
Alticola,Cricetidae,Rodentia,Mammalia
Lynx,Felidae,Rodentia,Mammalia
Cricetulus,Cricetidae,Rodentia,Mammalia
Lontra,Mustelidae,Rodentia,Mammalia
Cynomys,Sciuridae,Rodentia,Mammalia
Zalophus,Otariidae,Rodentia,Mammalia
Scalopus,Talpidae,Rodentia,Mammalia
Meriones,Muridae,Rodentia,Mammalia
Urocyon,Canidae,Rodentia,Mammalia
Aplodontia,Aplodontiidae,Rodentia,Mammalia
Notiosorex,Soricidae,Rodentia,Mammalia
Mephitis,Mephitidae,Rodentia,Mammalia
Graomys,Cricetidae,Rodentia,Mammalia
Ochrotomys,Cricetidae,Rodentia,Mammalia
Mastomys,Muridae,Rodentia,Mammalia
Microdipodops,Heteromyidae,Rodentia,Mammalia
Arborimus,Cricetidae,Rodentia,Mammalia
Heteromys,Heteromyidae,Rodentia,Mammalia
Eligmodontia,Cricetidae,Rodentia,Mammalia
Osgoodomys,Cricetidae,Rodentia,Mammalia
Stenella,NA,Rodentia,NA
Delphinus,Delphinidae,Rodentia,Mammalia
Spilogale,Mephitidae,Rodentia,Mammalia
Crocidura,Soricidae,Rodentia,Mammalia
Necromys,Cricetidae,Rodentia,Mammalia
Lemmiscus,Cricetidae,Rodentia,Mammalia
Xerospermophilus,Sciuridae,Rodentia,Mammalia
Thylamys,Didelphidae,Rodentia,Mammalia
Allactaga,Dipodidae,Rodentia,Mammalia
Erethizon,Erethizontidae,Rodentia,Mammalia
Odobenus,Odobenidae,Rodentia,Mammalia
Ctenomys,Ctenomyidae,Rodentia,Mammalia
Elephantulus,Macroscelididae,Rodentia,Mammalia
Scotinomys,Cricetidae,Rodentia,Mammalia
Marmosa,NA,Rodentia,NA
Aethomys,Muridae,Rodentia,Mammalia
Taxidea,Mustelidae,Rodentia,Mammalia
Neotamias,Sciuridae,Rodentia,Mammalia
Condylura,Talpidae,Rodentia,Mammalia
Phodopus,Cricetidae,Rodentia,Mammalia
Gulo,Mustelidae,Rodentia,Mammalia
Uropsilus,Talpidae,Rodentia,Mammalia
Marmosops,Didelphidae,Rodentia,Mammalia
Erignathus,Phocidae,Rodentia,Mammalia
Tatera,Muridae,Rodentia,Mammalia
Neacomys,Cricetidae,Rodentia,Mammalia
Lemniscomys,Muridae,Rodentia,Mammalia
