eventID,country,locality,yearCollected,samplingProtocol,materialSampleID,basisOfRecord,scientificName,diagnosticID,measurementMethod,measurementUnit,measurementType,measurementValue,verbatimEventDate,catalogNumber,references,individualID,collectionCode,institutionCode,lifeStage,measurementRemarks,measurementDeterminedDate,measurementAccuracy,materialSampleType,decimalLatitude,decimalLongitude,verbatimLocality,verbatimLatitude,verbatimLongitude,verbatimElevation,verbatimDepth,minimumDepthInMeters,minimumElevationInMeters,maximumElevationInMeters,maximumDepthInMeters,latestAgeOrHighestStage,latestEonOrHighestEonotheme,latestEpochOrHighestSeries,latestEraOrHighestErathem,latestPeriodOrHighestSystem,group,formation,member,minimumChronometricAge,minimumChronometricAgeReferenceSystem,earliestAgeOrLowestStage,earliestEonOrLowestEonothem,earliestEpochOrLowestSeries,earliestEraOrLowestErathem,earliestPeriodOrLowestSystem,eventRemarks,culturalRegions,culturalContext,bed,culturalOccupationPeriod,culturalAffiliations,coordinateUncertaintyInMeters,chronometricAgeUncertaintyInYears,chronometricAgeUncertaintyMethod,chronometricAgeProtocol,chronometricAgeID,lithostratigraphicTerms,maximumChronometricAge,maximumChronometricAgeReferenceSystem,geologicalContextID,lowestBiostratigraphicZone,highestBiostratigraphicZone,stateProvince,waterBody,islandGroup,island,institutionID,datasetName,dynamicProperties,fieldNumber,informationWithheld,verbatimLifeStage,occurrenceID,otherCatalogNumbers,previousIdentifications,sex,measurementSide,measurementDeterminedBy,materialSampleCondition,ageEstimationMethod,ageUnit,ageValue,reproductiveCondition,verbatimAgeValue,Diagnostics_bcid,Event_bcid,Sample_bcid,expeditionCode,projectId
000626d1_3f3c_4172_91c8_07b1c987c47d,Unknown,Dmanisi,unknown,Unknown,000626d1_3f3c_4172_91c8_07b1c987c47d,FossilSpecimen,Equus sp.,3162,Unknown,in,talus width,58.9,Unknown,,,GNM1-D2100,,,,,,,,,,Dmanisi,,,,,,,,,,,,,,,,,,mya,,,,,,,,,,,,,,,,,,,mya,,,,,,,,,,,,,,,,,not collected,,,,,,,,1.8,https://n2t.net/ark:/21547/Doi23162,https://n2t.net/ark:/21547/Dog2000626d1_3f3c_4172_91c8_07b1c987c47d,https://n2t.net/ark:/21547/Doh2000626d1_3f3c_4172_91c8_07b1c987c47d,EBSS,314
000626d1_3f3c_4172_91c8_07b1c987c47d,Unknown,Dmanisi,unknown,Unknown,000626d1_3f3c_4172_91c8_07b1c987c47d,FossilSpecimen,Equus sp.,1330,Unknown,in,talus length,61.1,Unknown,,,GNM1-D2100,,,,,,,,,,Dmanisi,,,,,,,,,,,,,,,,,,mya,,,,,,,,,,,,,,,,,,,mya,,,,,,,,,,,,,,,,,not collected,,,,,,,,1.8,https://n2t.net/ark:/21547/Doi21330,https://n2t.net/ark:/21547/Dog2000626d1_3f3c_4172_91c8_07b1c987c47d,https://n2t.net/ark:/21547/Doh2000626d1_3f3c_4172_91c8_07b1c987c47d,EBSS,314
00192116_d5b0_42b7_81df_bc7cbde9a818,Unknown,Hoewenegg,unknown,Unknown,00192116_d5b0_42b7_81df_bc7cbde9a818,FossilSpecimen,Hippotherium primigeneium,1422,Unknown,in,humerus length to caput of humerus,254.5,Unknown,,,HoY5954,,,,,,,,,,Hoewenegg,,,,,,,,,,,,,,,,,,mya,,,,,,,,,,,,,,,,,,,mya,,,,,,,,,,,,,,,,,not collected,,,,,,,,10.3,https://n2t.net/ark:/21547/Doi21422,https://n2t.net/ark:/21547/Dog200192116_d5b0_42b7_81df_bc7cbde9a818,https://n2t.net/ark:/21547/Doh200192116_d5b0_42b7_81df_bc7cbde9a818,EBSS,314
00192116_d5b0_42b7_81df_bc7cbde9a818,Unknown,Hoewenegg,unknown,Unknown,00192116_d5b0_42b7_81df_bc7cbde9a818,FossilSpecimen,Hippotherium primigeneium,448,Unknown,in,humerus length to ventral tubercle,270,Unknown,,,HoY5954,,,,,,,,,,Hoewenegg,,,,,,,,,,,,,,,,,,mya,,,,,,,,,,,,,,,,,,,mya,,,,,,,,,,,,,,,,,not collected,,,,,,,,10.3,https://n2t.net/ark:/21547/Doi2448,https://n2t.net/ark:/21547/Dog200192116_d5b0_42b7_81df_bc7cbde9a818,https://n2t.net/ark:/21547/Doh200192116_d5b0_42b7_81df_bc7cbde9a818,EBSS,314
002c9f4034a8458c967a4e8f7ebc92af,Unknown,Tizi'n Tadderht,unknown,Unknown,002c9f4034a8458c967a4e8f7ebc92af,FossilSpecimen,"""Hipparion""  sp.",89,Unknown,mm,talus length,56.1,,,,YGSP26574,,,,,,,,,,Tizi'n Tadderht,,,,,,,,,,,,,,,,,8,mya,,,,,,,,,,,,,,,,,,8,mya,,,,,,,,,,,,,,,,,not collected,,,,,,,,8,https://n2t.net/ark:/21547/DbL289,https://n2t.net/ark:/21547/DbJ2002c9f4034a8458c967a4e8f7ebc92af,https://n2t.net/ark:/21547/DbK2002c9f4034a8458c967a4e8f7ebc92af,FEBG,314
002c9f4034a8458c967a4e8f7ebc92af,Unknown,Tizi'n Tadderht,unknown,Unknown,002c9f4034a8458c967a4e8f7ebc92af,FossilSpecimen,"""Hipparion""  sp.",1588,Unknown,mm,breadth of the trochlea of talus,25.9,,,,YGSP26574,,,,,,,,,,Tizi'n Tadderht,,,,,,,,,,,,,,,,,8,mya,,,,,,,,,,,,,,,,,,8,mya,,,,,,,,,,,,,,,,,not collected,,,,,,,,8,https://n2t.net/ark:/21547/DbL21588,https://n2t.net/ark:/21547/DbJ2002c9f4034a8458c967a4e8f7ebc92af,https://n2t.net/ark:/21547/DbK2002c9f4034a8458c967a4e8f7ebc92af,FEBG,314
002c9f4034a8458c967a4e8f7ebc92af,Unknown,Tizi'n Tadderht,unknown,Unknown,002c9f4034a8458c967a4e8f7ebc92af,FossilSpecimen,"""Hipparion""  sp.",2414,Unknown,mm,talus width,52.2,,,,YGSP26574,,,,,,,,,,Tizi'n Tadderht,,,,,,,,,,,,,,,,,8,mya,,,,,,,,,,,,,,,,,,8,mya,,,,,,,,,,,,,,,,,not collected,,,,,,,,8,https://n2t.net/ark:/21547/DbL22414,https://n2t.net/ark:/21547/DbJ2002c9f4034a8458c967a4e8f7ebc92af,https://n2t.net/ark:/21547/DbK2002c9f4034a8458c967a4e8f7ebc92af,FEBG,314
0038239b_41f7_4568_915a_0bd22d4f3d32,Unknown,Hoewenegg,unknown,Unknown,0038239b_41f7_4568_915a_0bd22d4f3d32,FossilSpecimen,Hippotherium primigeneium,359,Unknown,in,talus length,53.6,Unknown,,,Ho85115,,,,,,,,,,Hoewenegg,,,,,,,,,,,,,,,,,,mya,,,,,,,,,,,,,,,,,,,mya,,,,,,,,,,,,,,,,,not collected,,,,,,,,10.3,https://n2t.net/ark:/21547/Doi2359,https://n2t.net/ark:/21547/Dog20038239b_41f7_4568_915a_0bd22d4f3d32,https://n2t.net/ark:/21547/Doh20038239b_41f7_4568_915a_0bd22d4f3d32,EBSS,314
004571a14b924bb8891c112d575a6790,Unknown,Tizi'n Tadderht,unknown,Unknown,004571a14b924bb8891c112d575a6790,FossilSpecimen,Cremohipparion mediterraneum,543,Unknown,mm,talus length,48.2,,,,PIUW3147/17,,,,,,,,,,Tizi'n Tadderht,,,,,,,,,,,,,,,,,8,mya,,,,,,,,,,,,,,,,,,8,mya,,,,,,,,,,,,,,,,,not collected,,,,,,,,8,https://n2t.net/ark:/21547/DbL2543,https://n2t.net/ark:/21547/DbJ2004571a14b924bb8891c112d575a6790,https://n2t.net/ark:/21547/DbK2004571a14b924bb8891c112d575a6790,FEBG,314
004571a14b924bb8891c112d575a6790,Unknown,Tizi'n Tadderht,unknown,Unknown,004571a14b924bb8891c112d575a6790,FossilSpecimen,Cremohipparion mediterraneum,3885,Unknown,mm,depth of the medial side of talus,41.8,,,,PIUW3147/17,,,,,,,,,,Tizi'n Tadderht,,,,,,,,,,,,,,,,,8,mya,,,,,,,,,,,,,,,,,,8,mya,,,,,,,,,,,,,,,,,not collected,,,,,,,,8,https://n2t.net/ark:/21547/DbL23885,https://n2t.net/ark:/21547/DbJ2004571a14b924bb8891c112d575a6790,https://n2t.net/ark:/21547/DbK2004571a14b924bb8891c112d575a6790,FEBG,314
